Question,Intent
건강검진 예약하려면 어떻게 해야되,절차
건강검진 예약 어떻게 해요,절차
건강검진 예약 어떻게 해,절차
건강검진 예약은 어떻게 해요,절차
건강검진 예약은 어떻게 해,절차
건강검진 예약하는 방법좀 알려주세요,절차
건강검진 예약하는 방법을 알려주세요,절차
건강검진 예약하는 방법좀 알려줘,절차
건강검진 예약하는 방법을 알려줘,절차
건강검진 예약하고 싶어,절차
건강검진 접수하려면 어떻게 해야되,절차
건강검진 접수 어떻게 해요,절차
건강검진 접수 어떻게 해,절차
건강검진 접수는 어떻게 해요,절차
건강검진 접수는 어떻게 해,절차
건강검진 접수하는 방법좀 알려주세요,절차
건강검진 접수하는 방법을 알려주세요,절차
건강검진 접수하는 방법좀 알려줘,절차
건강검진 접수하는 방법을 알려줘,절차
건강검진 접수하고 싶어,절차
건강검진 하기전에 지켜야 할게 있나요,절차
건강검진 하기전에 지킬게 있나요,절차
건강검진 하기전에 유의해야 할게 있나요,절차
건강검진 하기전에 유의할게 있나요,절차
건강검진 하기전 유의사항이 있나요,절차
건강검진 하기전에 할게 있나요,절차
건강검진 하기전에 지켜야 할게 있니,절차
건강검진 하기전에 지킬게 있니,절차
건강검진 하기전에 유의해야 할게 있니,절차
건강검진 하기전에 유의할게 있니,절차
건강검진 하기전 유의사항이 있니,절차
건강검진 하기전에 지켜야 할게 있어,절차
건강검진 하기전에 지킬게 있어,절차
건강검진 하기전에 유의해야 할게 있어,절차
건강검진 하기전에 유의할게 있어,절차
건강검진 하기전 유의사항이 있어,절차
건강검진 하기전에 할게 있어,절차
건강검진 하고난후에 지켜야 할게 있나요,절차
건강검진 하고난후에 지킬게 있나요,절차
건강검진 하고나서 지켜야 할게 있나요,절차
건강검진 하고나서 지킬게 있나요,절차
건강검진 한후에 지켜야 할게 있나요,절차
건강검진 한후에 지킬게 있나요,절차
건강검진 다하고 지켜야 할게 있나요,절차
건강검진 다하고 지킬게 있나요,절차
건강검진 다하고 관리는 어떻게 해요,절차
건강검진 다하고 관리는 어떻게 해,절차
건강검진 하고난후에 유의할게 있나요,절차
건강검진 하고나서 유의해야 할게 있나요,절차
건강검진 하고나서 유의할게 있나요,절차
건강검진 한후에 유의사항이 있니,절차
건강검진 한후에 유의할게 있니,절차
건강검진 한후에 유의사항이 있니,절차
건강검진 다하고 관리해야 하니,절차
건강검진 다하고 관리는 어떻게 해요,절차
건강검진 다하고 관리는 어떻게 하나요,절차
건강검진 다하고 관리 해야되요,절차
건강검진 하고 관리도 해야되요,절차
건강검진 하고 이후에 뭐해야 되나요,절차
건강검진 절차좀 알려줘,절차
건강검진 절차좀 알려주세요,절차
건강검진 진료 절차좀 알려주세요,절차
건강검진 진료 절차좀 알려줘,절차
건강검진 진료 순서좀 알려줘,절차
건강검진 진료 순서좀 알려주세요,절차
건강검진 순서좀 알려줘,절차
건강검진 순서좀 알려주세요,절차
건강검진 절차가 있나요,절차
건강검진 순서가 있나요,절차
건강검진 매뉴얼이 있니,절차
건강검진 매뉴얼이 어떻게 되,절차
건강검진 매뉴얼이 어떻게 돼,절차
건강검진 절차가 있니,절차
건강검진 순서가 있니,절차
건강검진 틀이 있니,절차
건강검진 틀이 어떻게 돼,절차
건강검진 순서가 어떻게 돼,절차
건강검진 순서가 어떻게 되,절차
건강검진 진료 절차가 어떻게 돼,절차
건강검진 진료 절차가 어떻게 되,절차
진료접수 하는 방법좀 알려줘,절차
진료접수 어떻게 해,절차
진료접수 어떻게 하면 돼,절차
진료접수 어떻게 하면 되,절차
진료접수 어떻게 하니,절차
진료접수 할라면 어떻게 해,절차
진료접수 하려면 어떻게 해,절차
진료접수 하려면 어떻게 하니,절차
진료접수 할라면 어떻게 해,절차
진료접수 하고싶은데 전화번호 알려줘,절차
진료접수 전화번호 있니,절차
진료접수 하고나서 주의사항이 있니,절차
진료접수 후에 주의할게 있니,절차
진료접수 했는데 다음 할게 있니,절차
진료접수 하고나서 또 할게 있나요,절차
진료접수 했는데 다음은 뭐하면 되나요,절차
진료접수 한후에 유의할게 있나요,절차
진료접수 다했어요,절차
진료접수 했는데 또 할게 있나요,절차
진료접수 후에 주의사항이 있나요,절차
입원 절차가 있나요,절차
입원 절차좀 알려주세요,절차
입원 하려고 하는데,절차
입원 방법좀 알려주세요,절차
입원 하기전 할게 있나요,절차
입원 하려는데 ,절차
입원 절차가 따로 있나요,절차
입원 절차가 있니,절차
입원 절차좀 알려줘,절차
입원은 어떻게 하나요,절차
입원 어떻게 해,절차
퇴원 절차가 있나요,절차
퇴원 절차좀 알려주세요,절차
퇴원 하려고 하는데,절차
퇴원 방법좀 알려주세요,절차
퇴원 하기전 할게 있나요,절차
퇴원 하려는데,절차
퇴원 절차가 따로 있나요,절차
퇴원 절차가 있니,절차
퇴원 절차좀 알려줘,절차
퇴원은 어떻게 하나요,절차
퇴원 어떻게 해,절차
검진예약시간좀 알려줘,절차
검진예약시간좀 알려주세요,절차
검진예약시간이 어떻게 돼,절차
검진예약시간이 따로 있나요,절차
검진예약시간좀 알려주세요,절차
평일 검진시간좀 알려주세요,절차
주말 검진시간좀 알려주세요,절차
평일 검진시간이 있나요,절차
주말 검진시간이 있나요,절차
검진시간은 언제에요,절차
검진시간은 언제야,절차
검진시간이 알려줘,절차
대표전화 번호는 뭐야,번호
FAX 번호는 뭐지,번호
건강증진센터 번호는 어떻게 되지,번호
장례식장 번호는 뭐에요,번호
진료전화예약 번호는 어떻게 됩니까,번호
병실전화 번호는 뭔데,번호
내분비내과 번호는 뭡니까,번호
신장내과 번호좀 알려주세요,번호
심장내과 번호를 알려주세요,번호
감염내과 번호 알려주세요,번호
산부인과 번호 뭐야,번호
정형외과 번호는 어떻게 되요,번호
신경과 번호좀 알려줘,번호
안과 번호를 알려줘,번호
비뇨의학과 번호가 뭐야,번호
재활의학과 번호가 뭐지,번호
마취통증의학과 번호가 뭐에요,번호
병리과 번호 알려주세요,번호
가정의학과 번호를 알려주세요,번호
피부과 번호좀 알려주세요,번호
소화기내과 번호 가르쳐주세요,번호
호흡기내과 번호좀 가르쳐주세요,번호
관절류마티스내과 번호가 뭐야,번호
외과 번호를 가르쳐주세요,번호
소아청소년과 전화번호는 뭐야,번호
신경외과 전화번호는 뭐지,번호
정신건강의학과 전화번호는 어떻게 되지,번호
이비인후과 전화번호는 뭐에요,번호
흉부외과 전화번호는 어떻게 됩니까,번호
치과 전화번호는 뭔데,번호
영상의학과 전화번호는 뭡니까,번호
진단검사의학과 전화번호좀 알려주세요,번호
직업환경의학과 전화번호를 알려주세요,번호
약제팀 전화번호 알려주세요,번호
의료정보팀 전화번호 뭐야,번호
재활치료실 전화번호는 어떻게 되요,번호
의료정보팀 전화번호좀 알려줘,번호
재활치료실 전화번호를 알려줘,번호
임상심리실 전화번호가 뭐야,번호
행정처장실 전화번호가 뭐지,번호
총무팀 전화번호가 뭐에요,번호
전산정보팀 전화번호 알려주세요,번호
고객지원팀 전화번호를 알려주세요,번호
원무팀 전화번호좀 알려주세요,번호
시설관리팀 전화번호 가르쳐주세요,번호
구매팀 전화번호좀 가르쳐주세요,번호
기획홍보팀 전화번호가 뭐야,번호
보험심사팀 전화번호를 가르쳐주세요,번호
의료사회사업팀 전화번호 알려줄래,번호
원목팀 번호좀 알려주라,번호
대표 번호좀 알려줄수 있나요,번호
FAX 전화번호좀 알려줄수 있나요,번호
건강증진센터 번호 혹시 알고 있나요,번호
혹시 장례식장 전화번호좀 알려 줄수 있나요,번호
혹시 진료전화예약 번호 아세요,번호
병실 전화번호좀 알려줄래요,번호
내분비내과 번호좀 알려줄래요,번호
신장내과 전화번호를 알고싶어요,번호
심장내과 전화번호 아세요,번호
산부인과 전화번호 아시나요,번호
정형외과 번호 아시나요,번호
신경과 전화번호 가르쳐주세요,번호
안과 전화번호는 뭐에요,번호
비뇨의학과 번호는 뭐에요,번호
재활의학과 전화번호가 궁금해요,번호
마취통증의학과 전화번호가 궁금한데,번호
병리과 전화번호가 뭐임,번호
가정의학과 전화번호는 어떻게 돼,번호
피부과 전화번호 알려줄수 있니,번호
저기 혹시 소화기내과 전화번호 아니,번호
그 혹시 호흡기내과 전화번호좀 가르쳐줘,번호
음 관절류마티스내과 번호좀 알려줘,번호
그 외과 전화번호 압니꺼,번호
혹시 소아청소년과 전화번호 압니까,번호
신경외과 번호 알려줭,번호
정신건강의학과 전화번호 가르쳐줭,번호
음 이비인후과 전화번호 뭐야,번호
치과 전화번호 아나,번호
영상의학과 전화번호 빨리,번호
약제팀 전화번호 궁금해,번호
의료정보팀 번호가 궁금해,번호
재활치료실 전화번호 알고싶다,번호
의료정보팀 전화번호 알고싶어,번호
내시경실은 어디야,위치
대강당이 어디야,위치
안과가 어디에요,위치
치과는 어디에요,위치
중앙수술실은 어디 있어요,위치
심장내과는 어디에 있어요,위치
초음파실은 어디에 있지요,위치
결핵관리실은 어디에 있나요,위치
주사실은 어디로 가면 되요,위치
산부인과는 어디로 가면 돼요,위치
신장내과는 어디로 가야 되요,위치
초음파실은 어디로 가야 돼요,위치
원내약국은 어디로 가야 해요,위치
이비인후과는 어디로 가요,위치
산부인과는 어디로 가나요,위치
흉부외과는 어디로 가지요,위치
비뇨기과는 어디로 가야하나요,위치
소아과는 어느쪽 이에요,위치
피부과는 어디여,위치
초음파실은 어딩,위치
신경외과는 어디쪽으로 가면 돼나요,위치
신경과는 어디쪽으로 가야 되나요,위치
재활의학과는 어디쪽으로 가나요,위치
흉부외과는 어느쪽으로 가면 되나요,위치
원무팀은 어느쪽으로 가야 되나요,위치
진료의뢰센터는 어디죠,위치
내분비내과는 어디에 있죠,위치
원무접수과는 어디로 가죠,위치
원무수납과는 어느쪽이죠,위치
소아청소년과는 어떻게 가죠,위치
전산정보팀은 어떻게 가요,위치
약제팀은 어떻게 가면되요,위치
구매팀은 어떻게 가나요,위치
시설관리팀은 어떻게 가면되나요,위치
푸드코트는 어떻게 가야하나요,위치
성모의료기는 어떻게 가면되요,위치
과일키친은 어떻게 가야하지,위치
대구은행은 어딨노,위치
감염관리실은 가는 방법좀 알려주세요,위치
보건관리실로 가는 방법좀 알려주세요,위치
관절류마티스센터는 어디로 가,위치
호흡기내과는 어디루 가,위치
감염내과는 어디있습니까,위치
고객지원팀은 어떻게 갑니까,위치
소화기내과는 어디로 갑니까,위치
내시경실은 어떤 길로 가,위치
진단검사의학과는 어디로 가야해,위치
병리과는 어디에 있어,위치
정신건강의학과는 어디 있어,위치
임상심리실은 어느 곳에 있어요,위치
의료정보실은 어느 곳에 있지,위치
재활치료실은 어떻게 가냐,위치
완화의료센터는 어떻게 가유,위치
간호간병통합서비스병동은 어디로 가냐,위치
50병동은 어디로 가야 돼,위치
60병동은 어디로 감,위치
70병동으로 가는 길좀 알려주세요,위치
80병동은 어디로 가야 하지,위치
간호부는 어느쪽에 있어,위치
건강증진센터는 어떻게 가니,위치
종합건강검진센터는 어디로 가니,위치
직원힐링센터는 어떻게 가지,위치
세미나실에 가고싶어,위치
보험심사팀으로 가는 길좀 가르쳐줄래,위치
가정의학과로 가는 방법좀 가르쳐줄래,위치
대회의실은 어떻게 가,위치
중회의실로 가고싶어,위치
안과 가는 방법좀 알려줘,위치
치과는 어디있어,위치
이비인후과는 어디있니,위치
임상심리실은 어딨니,위치
신경외과 가는법좀 알려줄래,위치
흉부외과 위치가 어디야,위치
산부인과 위치좀 알려줄래,위치
83병동 위치좀 가르쳐줄래,위치
신경과 위치는 어디에요,위치
중앙수술실은 어느곳에 있어,위치
심장내과는 몇층에 있니,위치
초음파실은 몇층으로 가면 되니,위치
결핵관리실은 몇층에 있어,위치
주사실은 어느 건물에 있어,위치
신장내과는 어느 건물로 가면 되니,위치
원내약국은 어느 건물 몇층에 있니,위치
비뇨기과 위치좀 알려줄래,위치
소아과로 가는 길좀 가르쳐줘,위치
재활의학과가 있는 건물은 어디야,위치
원무팀이 있는 건물은 어디에요,위치
진료의뢰센터로 갈래,위치
내분비내과로 가자,위치
원무접수과가 있는 건물은 어디야,위치
원무수납과로 가고 싶어,위치
소아청소년과에 가고싶어요,위치
전산정보팀이 있는 건물은 어디야,위치
약제팀에 가는 길을 알고싶어,위치
구매팀은 어디 있나요,위치
시설관리팀이 있는 위치를 알고싶어요,위치
