질문,분류
오늘 코로나 확진자 수좀 알려줘,신규
금일 코로나 확진자 수좀 알려줘,신규
신규 코로나 확진자 수좀 알려줘,신규
오늘 전체 코로나 확진자 몇 명이야,신규
오늘 코로나 확진자 몇 명이야,신규
금일 코로나 확진자 몇 명이에요,신규
오늘 전국 코로나 확진자 몇 명인가요,신규
오늘 전국에 코로나 확진자 몇 명이에요,신규
금일 전국 코로나 확진자 수는 몇 명인가요,신규
오늘 우리나라 코로나 걸린 사람 몇 명이야,신규
오늘 대한민국 코로나 확진자 몇 명 생겼나요,신규
코로나 확진자 오늘 몇 명 생겼죠,신규
코로나 오늘 얼마나 걸렸어,신규
코로나 신규 확진자 얼마나 늘었나요,신규
신규 코로나 확진자 수좀 알려주세요,신규
혹시 오늘 신규 확진자 얼마나 되지,신규
신규 코로나 확진자 몇 명이나 생겼나요,신규
오늘 확진자 몇 명 추가됬나요,신규
오늘 코로나 걸린 사람은 몇 명인가요,신규
오늘 새로 코로나 걸린 사람 몇 명이에요,신규
금일 코로나 신규 확진자 명수 몇 명이야,신규
신규 확진자 명수좀 알려주세요,신규
새로 코로나 걸린 사람 몇 명이에요,신규
오늘 확진자 몇 명 늘었나요,신규
오늘 새로 생긴 코로나 확진자 얼마나 되요,신규
신규 확진자 숫자좀 알려줄래,신규
음 혹시 오늘 코로나 신규 확진자 얼마나 돼,신규
저기 혹시 오늘 신규 확진자 몇 명이나 돼,신규
그 저기 오늘 코로나 얼마나 걸렸나요,신규
어 오늘 신규 확진자 얼마나 되노,신규
신규 확진자 몇 명,신규
코로나 새로 걸린 사람 몇 명이나 되냐,신규
어 음 혹시 음 코로나 신규 확진자 음 얼마나 되나요,신규
혹시 음 확진자 오늘 추가로 음 얼마나 추가 됬나요,신규
저기 코로나 신규 확진자 지금 몇 명이죠,신규
그 오늘 코로나 확진자 100명 넘나요,신규
금일 신규 코로나 확진자 음 몇 명이나 되죠,신규
대한민국 전체 코로나 확진자 몇 명이에요,전체
우리나라 총 코로나 확진자는 얼마나 되요,전체
누적 코로나 확진자 수좀 알려주세요,전체
전체 코로나 확진자 몇 명 정도 되요,전체
